Age,Country,Education,PreferredWorkEnvironment,SalaryImportance,WorkLifeBalance,CareerGrowth,Entrepreneurship,CareerSatisfaction,PursueHigherEd,StayWithEmployer3Years
24,Singapore,Bachelors,Office,Very Important,Low Priority,Low,Maybe,5,0,0
21,Canada,Bachelors,Office,Less Important,High Priority,Medium,No,3,0,1
28,Australia,High School,Remote,Very Important,Medium Priority,Low,No,1,1,1
25,UK,Masters,Hybrid,Important,High Priority,High,No,3,0,0
22,USA,High School,Remote,Less Important,Low Priority,Medium,Maybe,5,1,1
24,Australia,Bachelors,Freelance,Moderate,Medium Priority,High,Maybe,4,1,1
27,UK,High School,Remote,Moderate,High Priority,Low,No,5,1,0
20,UK,Bachelors,Freelance,Moderate,Medium Priority,High,No,4,1,0
24,UK,Bachelors,Freelance,Moderate,Low Priority,High,Yes,5,1,0
28,Germany,Bachelors,Office,Moderate,Low Priority,High,Yes,2,0,1
28,Germany,Bachelors,Office,Very Important,Medium Priority,Medium,Maybe,3,0,1
25,UK,PhD,Hybrid,Important,Medium Priority,Low,Yes,3,1,1
22,Singapore,High School,Freelance,Very Important,Low Priority,High,No,1,0,1
21,Germany,High School,Office,Less Important,High Priority,Medium,Maybe,2,0,0
25,Canada,High School,Freelance,Important,Low Priority,Low,Yes,1,1,0
25,UK,Bachelors,Hybrid,Important,Medium Priority,Low,Maybe,3,0,0
20,Canada,High School,Freelance,Important,High Priority,Low,No,1,1,0
23,Canada,Masters,Hybrid,Important,Low Priority,High,Yes,4,1,1
22,UK,Bachelors,Hybrid,Moderate,Medium Priority,High,Yes,2,0,1
19,USA,Bachelors,Hybrid,Less Important,Medium Priority,High,Yes,5,0,0
25,Singapore,Bachelors,Office,Important,Medium Priority,Low,No,4,0,0
29,UK,High School,Remote,Important,High Priority,Low,Maybe,5,1,0
23,UK,High School,Remote,Moderate,High Priority,High,Yes,1,0,1
19,Germany,Bachelors,Office,Very Important,High Priority,High,Maybe,3,0,1
29,UK,Bachelors,Freelance,Very Important,High Priority,Low,Maybe,4,1,1
22,USA,High School,Office,Very Important,Medium Priority,Low,Maybe,2,0,0
18,Germany,High School,Freelance,Less Important,Medium Priority,Medium,No,5,0,0
29,India,PhD,Hybrid,Very Important,High Priority,Medium,No,4,0,0
27,India,High School,Office,Important,High Priority,High,Yes,3,0,1
23,Canada,Masters,Remote,Moderate,Medium Priority,Low,Yes,2,0,1
29,Singapore,Masters,Freelance,Moderate,Low Priority,Low,Maybe,2,1,1
26,Canada,Bachelors,Office,Very Important,Low Priority,Medium,Maybe,5,0,1
18,USA,High School,Office,Moderate,Medium Priority,Low,Maybe,4,0,1
28,Australia,High School,Freelance,Important,High Priority,High,No,4,0,0
28,Singapore,Bachelors,Hybrid,Very Important,High Priority,Medium,No,2,0,0
27,India,Bachelors,Hybrid,Important,Medium Priority,Low,Yes,1,1,1
29,Canada,Masters,Hybrid,Less Important,Low Priority,Low,Maybe,2,0,0
29,India,Masters,Hybrid,Important,Medium Priority,High,Maybe,3,1,0
20,USA,Bachelors,Freelance,Important,Medium Priority,Low,No,4,0,1
29,USA,High School,Remote,Important,Medium Priority,Medium,Yes,5,1,1
24,Australia,High School,Office,Important,High Priority,Medium,Maybe,4,0,1
21,Australia,Masters,Office,Less Important,High Priority,Low,Maybe,2,0,0
26,Germany,High School,Hybrid,Very Important,High Priority,Low,Yes,3,0,0
20,Singapore,High School,Freelance,Important,Low Priority,Low,Maybe,1,1,1
22,USA,Bachelors,Remote,Very Important,Medium Priority,Low,No,4,0,1
20,Canada,Bachelors,Remote,Moderate,Medium Priority,Medium,Yes,2,0,1
24,India,Masters,Office,Important,Low Priority,High,Maybe,2,1,1
22,UK,Bachelors,Hybrid,Important,High Priority,Medium,Maybe,2,0,1
26,Australia,High School,Office,Moderate,Medium Priority,Low,No,3,0,0
24,UK,Masters,Office,Very Important,Low Priority,Low,No,2,1,0
19,Canada,Bachelors,Remote,Less Important,High Priority,Medium,No,2,0,0
21,Australia,Bachelors,Freelance,Important,High Priority,Medium,Maybe,2,1,1
26,UK,Bachelors,Remote,Moderate,Medium Priority,Low,Maybe,4,0,0
29,Singapore,High School,Office,Moderate,High Priority,Medium,Maybe,2,0,1
19,Canada,Bachelors,Hybrid,Important,Low Priority,Low,Yes,3,0,1
27,India,High School,Hybrid,Very Important,High Priority,Medium,No,4,1,0
26,Singapore,Bachelors,Freelance,Very Important,Medium Priority,Low,Yes,2,1,1
27,Canada,Bachelors,Freelance,Important,Low Priority,Medium,No,1,1,1
22,Germany,Masters,Freelance,Moderate,High Priority,Low,Maybe,3,0,1
19,Australia,Masters,Office,Important,High Priority,High,Yes,1,1,1
21,USA,High School,Office,Less Important,High Priority,High,Yes,3,0,0
29,India,Bachelors,Freelance,Less Important,Low Priority,Medium,No,1,0,0
29,Singapore,Bachelors,Hybrid,Very Important,High Priority,High,Yes,2,1,0
24,Singapore,High School,Hybrid,Less Important,Medium Priority,Low,Yes,1,0,1
29,UK,Masters,Hybrid,Moderate,Low Priority,Medium,Maybe,1,0,1
25,Australia,Bachelors,Office,Less Important,Low Priority,Medium,No,3,0,1
20,USA,High School,Remote,Important,High Priority,Low,Yes,2,1,0
18,Canada,Bachelors,Hybrid,Moderate,Low Priority,Low,Maybe,3,0,1
21,USA,High School,Hybrid,Very Important,Medium Priority,Low,Yes,2,0,1
19,Australia,Bachelors,Hybrid,Very Important,Low Priority,Medium,Maybe,5,1,1
25,Australia,High School,Freelance,Less Important,Medium Priority,Low,Yes,4,0,0
21,Germany,PhD,Office,Very Important,High Priority,High,Maybe,4,0,1
19,Germany,Masters,Freelance,Important,Low Priority,Medium,Maybe,3,1,0
23,USA,Bachelors,Freelance,Moderate,Medium Priority,Low,No,2,1,0
23,Canada,Bachelors,Remote,Important,High Priority,Medium,Maybe,1,0,0
27,USA,Masters,Freelance,Important,Medium Priority,High,Yes,4,1,0
21,Australia,Bachelors,Remote,Important,Low Priority,High,Maybe,3,0,1
23,Australia,High School,Freelance,Important,Low Priority,Low,Maybe,3,0,0
19,UK,Bachelors,Hybrid,Moderate,Medium Priority,Medium,Yes,3,0,1
27,Germany,Masters,Office,Moderate,High Priority,Low,Yes,2,0,0
29,UK,Bachelors,Freelance,Important,High Priority,Medium,Maybe,3,0,0
19,India,Bachelors,Remote,Important,High Priority,Low,Yes,5,1,0
27,Australia,Masters,Office,Very Important,High Priority,Low,Maybe,1,1,0
21,UK,Masters,Remote,Very Important,Medium Priority,Medium,Maybe,3,1,0
25,USA,Masters,Hybrid,Moderate,Low Priority,Medium,Maybe,2,1,1
24,Germany,High School,Freelance,Very Important,Medium Priority,High,Yes,1,0,1
29,Germany,Bachelors,Office,Moderate,Low Priority,High,No,1,0,0
26,Canada,Bachelors,Hybrid,Moderate,Low Priority,Medium,No,4,1,0
25,USA,Masters,Freelance,Less Important,Medium Priority,High,Maybe,3,1,0
22,Canada,Bachelors,Freelance,Moderate,Medium Priority,High,Maybe,3,1,1
19,UK,High School,Remote,Very Important,High Priority,Medium,Yes,2,0,1
22,Singapore,Masters,Remote,Less Important,Low Priority,Medium,No,5,0,1
25,India,Bachelors,Hybrid,Very Important,High Priority,Medium,No,5,0,0
27,USA,High School,Remote,Moderate,High Priority,Low,No,4,0,0
26,USA,Bachelors,Hybrid,Moderate,Medium Priority,Medium,Yes,5,0,0
29,USA,High School,Hybrid,Important,High Priority,Medium,Yes,2,0,1
29,Canada,Bachelors,Hybrid,Moderate,High Priority,Medium,Yes,4,1,0
29,UK,High School,Remote,Less Important,High Priority,High,Maybe,3,0,1
26,USA,Bachelors,Office,Moderate,Medium Priority,Medium,Yes,5,0,1
18,Singapore,Bachelors,Hybrid,Important,High Priority,High,Maybe,2,1,1
26,USA,Bachelors,Office,Moderate,High Priority,Low,Maybe,2,0,0
24,Germany,Bachelors,Freelance,Moderate,Medium Priority,Medium,Maybe,3,0,1
26,India,Masters,Remote,Moderate,Medium Priority,Medium,Maybe,2,0,0
25,Germany,High School,Remote,Important,Medium Priority,High,Yes,4,1,1
18,Germany,High School,Office,Very Important,Low Priority,Low,Yes,4,0,0
29,India,Masters,Freelance,Moderate,Medium Priority,Medium,No,1,1,0
25,Singapore,High School,Freelance,Less Important,Low Priority,Low,No,3,0,0
25,UK,PhD,Hybrid,Important,Medium Priority,Low,Maybe,2,0,1
28,Germany,Masters,Remote,Less Important,Medium Priority,Medium,No,5,0,0
20,UK,Bachelors,Freelance,Moderate,Medium Priority,Low,No,4,0,1
18,Germany,PhD,Freelance,Important,Low Priority,Low,No,3,0,0
25,Australia,High School,Hybrid,Moderate,High Priority,Medium,Maybe,3,1,0
20,India,Bachelors,Hybrid,Less Important,Medium Priority,High,No,4,0,1
20,Germany,Bachelors,Office,Important,Low Priority,Medium,Yes,1,1,0
18,Australia,Bachelors,Remote,Very Important,Medium Priority,Low,Maybe,3,1,1
28,Canada,Masters,Freelance,Very Important,High Priority,Medium,Yes,2,1,1
22,Australia,High School,Office,Very Important,Low Priority,High,Maybe,5,0,1
27,USA,Bachelors,Remote,Moderate,Medium Priority,Low,Yes,5,1,0
24,Germany,Bachelors,Office,Important,Medium Priority,Low,No,4,0,1
27,Australia,Bachelors,Remote,Less Important,Medium Priority,High,Maybe,3,0,1
26,UK,Bachelors,Remote,Less Important,High Priority,High,Yes,5,1,1
29,Canada,Bachelors,Freelance,Moderate,Low Priority,Low,Maybe,3,0,0
24,Singapore,Masters,Remote,Moderate,Medium Priority,High,Yes,4,1,1
26,Germany,High School,Hybrid,Less Important,Medium Priority,Medium,No,1,0,1
25,USA,Masters,Freelance,Important,Low Priority,High,Maybe,5,0,0
29,Singapore,Bachelors,Hybrid,Moderate,High Priority,Medium,Maybe,2,0,1
19,Australia,Masters,Office,Important,High Priority,Low,Yes,4,0,1
18,Singapore,Bachelors,Office,Less Important,High Priority,Low,Yes,1,0,0
24,Singapore,High School,Remote,Important,High Priority,Low,No,2,0,0
24,Canada,Bachelors,Remote,Very Important,High Priority,Low,Yes,2,1,0
25,Singapore,Masters,Hybrid,Less Important,Medium Priority,Low,Yes,5,1,0
22,Singapore,Bachelors,Hybrid,Very Important,Medium Priority,High,Yes,3,1,1
20,Germany,PhD,Hybrid,Less Important,Medium Priority,High,No,4,1,1
29,Canada,Bachelors,Office,Very Important,Low Priority,Low,No,2,0,1
25,USA,High School,Hybrid,Important,High Priority,High,Maybe,5,1,1
23,Australia,Bachelors,Freelance,Less Important,Low Priority,High,No,1,0,0
28,Canada,PhD,Freelance,Less Important,High Priority,Low,Yes,2,0,0
20,Canada,Bachelors,Office,Very Important,High Priority,High,Maybe,1,1,1
18,India,Masters,Hybrid,Important,Low Priority,Low,No,4,0,1
20,Canada,Masters,Hybrid,Less Important,Medium Priority,Low,No,5,1,1
22,India,Bachelors,Remote,Moderate,Low Priority,Low,Yes,1,0,1
20,Australia,High School,Freelance,Very Important,Medium Priority,Low,Yes,3,0,0
18,Singapore,Bachelors,Office,Less Important,High Priority,High,No,1,0,1
22,Germany,Bachelors,Hybrid,Important,Medium Priority,High,Maybe,1,0,1
27,Germany,Masters,Remote,Important,High Priority,Medium,Yes,5,1,0
24,Australia,Bachelors,Office,Important,High Priority,Medium,No,5,1,0
24,Australia,Bachelors,Office,Important,Medium Priority,Low,No,2,0,1
28,UK,Masters,Freelance,Very Important,High Priority,Medium,Yes,1,0,0
26,Singapore,Bachelors,Hybrid,Less Important,Medium Priority,High,Maybe,1,0,0
27,Australia,Bachelors,Office,Very Important,Low Priority,High,Maybe,5,1,1
27,Canada,Bachelors,Remote,Very Important,High Priority,Medium,Maybe,3,0,1
29,Germany,Bachelors,Remote,Important,High Priority,Medium,Yes,5,1,1
20,USA,Bachelors,Office,Moderate,Low Priority,High,Yes,3,1,1
24,Germany,Masters,Remote,Important,High Priority,Medium,Yes,5,1,1
18,India,Bachelors,Office,Moderate,Low Priority,High,Maybe,4,0,1
21,Germany,Bachelors,Remote,Very Important,Low Priority,High,Maybe,1,1,0
21,UK,Bachelors,Office,Important,High Priority,Medium,Yes,3,1,1
